message,label
Your recurring payment of ₹500 was completed. Reference 68454.,0
Your account balance has been updated after your transaction. Reference 86751.,0
Your account has been credited with ₹50000.,0
Your KYC has expired. Verify your details now using the link. Case 23619.,1
Your recurring payment of ₹250 was completed.,0
Share the verification code you received to secure your account. Case 52914.,1
Your scheduled payment of ₹25000 has been processed. Reference 90024.,0
Your bank account is at risk. Provide your OTP now. Case 74419.,1
Your electricity bill payment of ₹25000 was processed. Reference 99318.,0
Congratulations! You won ₹25000. Pay a fee to claim your reward. Case 60014.,1
Your ATM withdrawal of ₹750 was successful. Reference 25324.,0
Your deposit of ₹1500 has been credited to your account.,0
Congratulations! You won ₹10000. Pay a fee to claim your reward. Case 93863.,1
Your reward is waiting. Submit your banking details immediately. Case 84278.,1
Your bank account is at risk. Provide your OTP now. Case 49834.,1
Your refund of ₹500 has been processed.,0
Your account will be permanently closed unless you update your KYC now. Case 67292.,1
Your transfer of ₹25000 has been completed successfully.,0
Your card payment at ABC Store for ₹1000 was approved. Reference 96235.,0
Your monthly account summary is available to view. Reference 43205.,0
Your transfer of ₹1500 has been completed successfully. Reference 93681.,0
Your debit card transaction of ₹25000 was completed. Reference 58033.,0
Urgent verification required. Failure to respond will result in account suspension. Case 70412.,1
Your payment failed. Enter your card details at this link to receive a refund. Case 23829.,1
Your account has been credited with ₹5000. Reference 89346.,0
Click this link immediately to avoid account closure. Case 46760.,1
Your deposit of ₹1500 has been credited to your account. Reference 85085.,0
Your account balance has been updated after your transaction. Reference 43792.,0
Security alert! Share your verification code to cancel the suspicious transaction. Case 32957.,1
Your refund of ₹50000 has been processed. Reference 78118.,0
Your card payment at Electricity Board for ₹5000 was approved. Reference 76144.,0
Your debit card transaction of ₹500 was completed.,0
Your electricity bill payment of ₹50000 was processed.,0
Your monthly account summary is available to view. Reference 86085.,0
Your electricity bill payment of ₹750 was processed. Reference 38085.,0
Someone attempted a transaction. Give us your OTP to cancel it. Case 27326.,1
Your payment due date is 25 September. Reference 27047.,0
Your ATM withdrawal of ₹1500 was successful. Reference 57600.,0
Click here to receive your refund immediately. Case 99158.,1
Your card payment at Mobile Service for ₹2500 was approved. Reference 34780.,0
Your loan payment of ₹50000 has been received. Reference 28857.,0
Share the verification code you received to secure your account. Case 85609.,1
Your payment of ₹750 to Travel Services was successful.,0
Urgent verification required. Failure to respond will result in account suspension. Case 62645.,1
Your account balance has been updated after your transaction. Reference 73559.,0
Your KYC has expired. Verify your details now using the link. Case 17700.,1
Your KYC has expired. Verify your details now using the link. Case 82938.,1
Your ATM withdrawal of ₹10000 was successful. Reference 88654.,0
Your ATM withdrawal of ₹500 was successful.,0
Your scheduled payment of ₹2500 has been processed. Reference 37400.,0
Your account statement for March is now available. Reference 98940.,0
Your account statement for March is now available. Reference 42133.,0
Your monthly account summary is available to view. Reference 59781.,0
Your transfer of ₹25000 has been completed successfully. Reference 93692.,0
Your account balance has been updated after your transaction. Reference 88918.,0
Act now! Your account security check expires today. Case 49117.,1
Congratulations! You won ₹10000. Pay a fee to claim your reward. Case 46943.,1
Your debit card transaction of ₹5000 was completed. Reference 81884.,0
Click here to receive your refund immediately. Case 90358.,1
Someone attempted a transaction. Give us your OTP to cancel it. Case 29871.,1
Click this link immediately to avoid account closure. Case 45899.,1
Someone attempted a transaction. Give us your OTP to cancel it. Case 90739.,1
Click this link immediately to avoid account closure. Case 12132.,1
Your scheduled payment of ₹25000 has been processed. Reference 69409.,0
Verify your PIN through this link to unlock your account. Case 23686.,1
Your bank account is at risk. Provide your OTP now. Case 17279.,1
Send your OTP now to prevent your account from being suspended. Case 52624.,1
Urgent! Your account will be blocked unless you verify immediately. Case 12592.,1
Your card will be blocked today. Confirm your PIN immediately. Case 14337.,1
Your scheduled payment of ₹250 has been processed.,0
Your payment of ₹1000 to Mobile Service was successful.,0
Your KYC has expired. Verify your details now using the link. Case 43776.,1
Your loan payment of ₹10000 has been received.,0
Your debit card transaction of ₹1000 was completed.,0
Your payment failed. Enter your card details at this link to receive a refund.,1
Your reward is waiting. Submit your banking details immediately. Case 68963.,1
Verify your PIN through this link to unlock your account. Case 50895.,1
Share the verification code you received to secure your account. Case 34613.,1
Verify your PIN through this link to unlock your account. Case 48455.,1
Your refund of ₹5000 has been processed. Reference 64186.,0
Your transaction history has been updated. Reference 32119.,0
Your mobile recharge of ₹25000 was successful. Reference 42895.,0
Your loan payment of ₹5000 has been received. Reference 19575.,0
Congratulations! You won ₹50000. Pay a fee to claim your reward. Case 20480.,1
Your account will be permanently closed unless you update your KYC now. Case 27305.,1
Your card payment at Electricity Board for ₹2500 was approved.,0
Act now! Your account security check expires today. Case 68455.,1
Click this link immediately to avoid account closure. Case 52312.,1
We detected a problem with your account. Click the link and verify now. Case 73539.,1
Your refund of ₹500 has been processed. Reference 53684.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 19027.,1
Your account has suspicious activity. Send your banking password for verification. Case 83224.,1
Your refund of ₹5000 has been processed.,0
Your transfer of ₹2500 has been completed successfully. Reference 74972.,0
Congratulations! You won ₹25000. Pay a fee to claim your reward. Case 16955.,1
We detected a problem with your account. Click the link and verify now. Case 98022.,1
Your account has suspicious activity. Send your banking password for verification. Case 58745.,1
Your ATM withdrawal of ₹250 was successful. Reference 31805.,0
Your account will be permanently closed unless you update your KYC now. Case 22384.,1
Your transaction history has been updated. Reference 66051.,0
Your electricity bill payment of ₹5000 was processed. Reference 86162.,0
Your account will be permanently closed unless you update your KYC now. Case 16385.,1
Your loan payment of ₹25000 has been received. Reference 90352.,0
Your refund of ₹750 has been processed. Reference 69517.,0
Verify your PIN through this link to unlock your account. Case 29112.,1
Click here to receive your refund immediately. Case 61390.,1
Your mobile recharge of ₹10000 was successful.,0
Security alert! Share your verification code to cancel the suspicious transaction. Case 89794.,1
Your deposit of ₹5000 has been credited to your account. Reference 73225.,0
Click this link immediately to avoid account closure. Case 17148.,1
Your transaction history has been updated. Reference 55039.,0
Click here to receive your refund immediately. Case 37600.,1
Your debit card transaction of ₹10000 was completed. Reference 36224.,0
Verify your PIN through this link to unlock your account. Case 27947.,1
Your card payment at ABC Store for ₹250 was approved. Reference 29231.,0
Your payment of ₹1500 to Online Market was successful. Reference 83535.,0
You have been selected for a cash reward. Enter your card details to claim it. Case 56580.,1
Your scheduled payment of ₹1500 has been processed. Reference 89144.,0
Your KYC has expired. Verify your details now using the link. Case 30155.,1
Your payment of ₹2500 to City Bank was successful.,0
Someone attempted a transaction. Give us your OTP to cancel it. Case 35703.,1
Your bank account is at risk. Provide your OTP now. Case 71759.,1
Your account balance has been updated after your transaction. Reference 72043.,0
Your account will be permanently closed unless you update your KYC now. Case 56840.,1
Your mobile recharge of ₹750 was successful. Reference 47156.,0
We detected a problem with your account. Click the link and verify now. Case 28585.,1
Your mobile recharge of ₹2500 was successful. Reference 25923.,0
Your KYC has expired. Verify your details now using the link. Case 76629.,1
Urgent! Your account will be blocked unless you verify immediately. Case 32942.,1
Your account balance has been updated after your transaction. Reference 61520.,0
Your bank transfer to Travel Services is complete. Reference 83812.,0
Your account has been credited with ₹250. Reference 56285.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 21334.,1
Your scheduled payment of ₹1500 has been processed.,0
Your ATM withdrawal of ₹5000 was successful.,0
Someone attempted a transaction. Give us your OTP to cancel it. Case 44422.,1
Your bank account is at risk. Provide your OTP now. Case 73556.,1
Click this link immediately to avoid account closure. Case 42846.,1
Your transfer of ₹10000 has been completed successfully. Reference 25207.,0
Your loan payment of ₹500 has been received. Reference 33111.,0
Your ATM withdrawal of ₹750 was successful.,0
Your debit card transaction of ₹5000 was completed. Reference 85308.,0
Security alert! Share your verification code to cancel the suspicious transaction. Case 79632.,1
Your transfer of ₹2500 has been completed successfully. Reference 10702.,0
Send your OTP now to prevent your account from being suspended.,1
Your ATM withdrawal of ₹25000 was successful.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 38014.,1
Your card will be blocked today. Confirm your PIN immediately. Case 32264.,1
Send your OTP now to prevent your account from being suspended. Case 55068.,1
Urgent verification required. Failure to respond will result in account suspension. Case 52553.,1
Your transfer of ₹50000 has been completed successfully. Reference 46428.,0
Urgent! Your account will be blocked unless you verify immediately. Case 25890.,1
Your KYC has expired. Verify your details now using the link. Case 57400.,1
Your payment of ₹500 to Travel Services was successful. Reference 87018.,0
You have been selected for a cash reward. Enter your card details to claim it. Case 42859.,1
Your payment of ₹750 to Mobile Service was successful. Reference 91522.,0
Your account has suspicious activity. Send your banking password for verification. Case 45279.,1
Your monthly account summary is available to view.,0
Your card payment at Electricity Board for ₹750 was approved. Reference 23225.,0
Security alert! Share your verification code to cancel the suspicious transaction.,1
Your account balance has been updated after your transaction. Reference 14461.,0
Your transaction history has been updated. Reference 47982.,0
Your refund of ₹50000 has been processed. Reference 69917.,0
Your mobile recharge of ₹25000 was successful. Reference 68827.,0
Your transaction history has been updated. Reference 53829.,0
Your debit card transaction of ₹250 was completed. Reference 68271.,0
Click this link immediately to avoid account closure. Case 24796.,1
Your reward is waiting. Submit your banking details immediately. Case 71763.,1
Your card will be blocked today. Confirm your PIN immediately.,1
Your deposit of ₹1000 has been credited to your account.,0
Security alert! Share your verification code to cancel the suspicious transaction. Case 78909.,1
Act now! Your account security check expires today. Case 74418.,1
Your loan payment of ₹2500 has been received. Reference 65846.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 59160.,1
Urgent verification required. Failure to respond will result in account suspension.,1
Your transfer of ₹5000 has been completed successfully. Reference 32973.,0
Your transfer of ₹250 has been completed successfully. Reference 86056.,0
Your account will be permanently closed unless you update your KYC now. Case 31016.,1
Your transfer of ₹10000 has been completed successfully. Reference 81137.,0
Your card payment at Electricity Board for ₹250 was approved.,0
Your bank transfer to Travel Services is complete. Reference 48382.,0
Your transaction reference TXN5937 has been completed.,0
Your mobile recharge of ₹250 was successful.,0
Your transaction reference TXN9146 has been completed. Reference 14159.,0
Your ATM withdrawal of ₹1500 was successful.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 95078.,1
Your payment failed. Enter your card details at this link to receive a refund. Case 24806.,1
Your monthly account summary is available to view. Reference 91506.,0
Your loan payment of ₹1000 has been received. Reference 52584.,0
Click here to receive your refund immediately. Case 15328.,1
Verify your PIN through this link to unlock your account. Case 71503.,1
Your bank transfer to Mobile Service is complete. Reference 21112.,0
Your mobile recharge of ₹5000 was successful. Reference 55252.,0
Your account has suspicious activity. Send your banking password for verification.,1
Verify your PIN through this link to unlock your account. Case 26015.,1
Congratulations! You won ₹25000. Pay a fee to claim your reward. Case 46261.,1
Your scheduled payment of ₹50000 has been processed.,0
Your card payment at Travel Services for ₹10000 was approved. Reference 27709.,0
Your account will be permanently closed unless you update your KYC now. Case 99749.,1
Your electricity bill payment of ₹10000 was processed. Reference 20917.,0
Your scheduled payment of ₹500 has been processed. Reference 53610.,0
Your account has been credited with ₹750. Reference 60096.,0
You have been selected for a cash reward. Enter your card details to claim it. Case 94957.,1
We detected a problem with your account. Click the link and verify now. Case 91988.,1
Your account statement for August is now available. Reference 52647.,0
Your account has been credited with ₹5000.,0
Your refund of ₹250 has been processed. Reference 24938.,0
Your bank transfer to Electricity Board is complete. Reference 52610.,0
Send your OTP now to prevent your account from being suspended. Case 91830.,1
Your account statement for July is now available.,0
Your recurring payment of ₹25000 was completed. Reference 43263.,0
Urgent verification required. Failure to respond will result in account suspension. Case 24435.,1
Your refund of ₹2500 has been processed.,0
Your KYC has expired. Verify your details now using the link. Case 75568.,1
Click this link immediately to avoid account closure. Case 10946.,1
Urgent verification required. Failure to respond will result in account suspension. Case 14440.,1
You have been selected for a cash reward. Enter your card details to claim it. Case 62506.,1
Your payment of ₹500 to Travel Services was successful. Reference 42396.,0
Act now! Your account security check expires today. Case 55544.,1
We detected a problem with your account. Click the link and verify now. Case 63422.,1
Congratulations! You won ₹25000. Pay a fee to claim your reward. Case 55157.,1
We detected a problem with your account. Click the link and verify now. Case 84048.,1
Your KYC has expired. Verify your details now using the link. Case 20287.,1
Your payment of ₹500 to City Bank was successful. Reference 64732.,0
Your refund of ₹750 has been processed. Reference 49748.,0
Your account statement for April is now available. Reference 92752.,0
Your bank account is at risk. Provide your OTP now. Case 40833.,1
Your refund of ₹1500 has been processed. Reference 36287.,0
Your account balance has been updated after your transaction. Reference 30446.,0
Your payment of ₹50000 to City Bank was successful. Reference 82006.,0
Verify your PIN through this link to unlock your account. Case 29209.,1
Your transaction history has been updated. Reference 14697.,0
You have been selected for a cash reward. Enter your card details to claim it.,1
Your transfer of ₹50000 has been completed successfully.,0
Urgent verification required. Failure to respond will result in account suspension. Case 51060.,1
Your electricity bill payment of ₹1000 was processed. Reference 53750.,0
Your bank transfer to Mobile Service is complete. Reference 89225.,0
Your account balance has been updated after your transaction. Reference 91233.,0
Your transfer of ₹1000 has been completed successfully. Reference 43868.,0
Congratulations! You won ₹10000. Pay a fee to claim your reward. Case 74067.,1
Your recurring payment of ₹1500 was completed. Reference 10025.,0
Your transaction history has been updated. Reference 92924.,0
Your refund of ₹1000 has been processed. Reference 57352.,0
Someone attempted a transaction. Give us your OTP to cancel it. Case 92656.,1
Your electricity bill payment of ₹25000 was processed. Reference 70845.,0
Your transaction reference TXN2684 has been completed. Reference 60222.,0
Act now! Your account security check expires today. Case 28000.,1
Send your OTP now to prevent your account from being suspended. Case 49537.,1
Your mobile recharge of ₹10000 was successful. Reference 17342.,0
Share the verification code you received to secure your account. Case 50407.,1
Your card payment at ABC Store for ₹50000 was approved. Reference 91352.,0
Your transaction reference TXN5937 has been completed. Reference 44413.,0
Your transaction history has been updated. Reference 46505.,0
Your scheduled payment of ₹1000 has been processed. Reference 85354.,0
Your loan payment of ₹750 has been received.,0
Your electricity bill payment of ₹1500 was processed.,0
Your transfer of ₹250 has been completed successfully. Reference 26492.,0
Your scheduled payment of ₹50000 has been processed. Reference 17184.,0
Your account will be permanently closed unless you update your KYC now. Case 94793.,1
Your mobile recharge of ₹750 was successful. Reference 73792.,0
Your deposit of ₹1000 has been credited to your account. Reference 32662.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 62535.,1
Your card will be blocked today. Confirm your PIN immediately. Case 90341.,1
Your mobile recharge of ₹2500 was successful.,0
Your account has suspicious activity. Send your banking password for verification. Case 26429.,1
Urgent! Your account will be blocked unless you verify immediately. Case 59681.,1
Your account balance has been updated after your transaction. Reference 34744.,0
We detected a problem with your account. Click the link and verify now. Case 16758.,1
Your KYC has expired. Verify your details now using the link.,1
Your transaction reference TXN4821 has been completed. Reference 33414.,0
Your loan payment of ₹500 has been received. Reference 43162.,0
Click this link immediately to avoid account closure. Case 27027.,1
Your account statement for February is now available. Reference 10766.,0
Your debit card transaction of ₹1000 was completed. Reference 25203.,0
Verify your PIN through this link to unlock your account. Case 69714.,1
Your monthly account summary is available to view. Reference 34884.,0
Your electricity bill payment of ₹750 was processed.,0
Your deposit of ₹25000 has been credited to your account.,0
Your card payment at City Bank for ₹750 was approved. Reference 60785.,0
Your recurring payment of ₹250 was completed. Reference 87183.,0
Your monthly account summary is available to view. Reference 33321.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 29815.,1
Your payment of ₹500 to Online Market was successful.,0
Act now! Your account security check expires today. Case 93422.,1
Your card payment at Mobile Service for ₹10000 was approved.,0
Your payment due date is 20 September. Reference 34716.,0
Congratulations! You won ₹25000. Pay a fee to claim your reward. Case 21297.,1
Your loan payment of ₹1000 has been received.,0
Send your OTP now to prevent your account from being suspended. Case 70402.,1
Your debit card transaction of ₹1500 was completed.,0
Your bank transfer to Electricity Board is complete. Reference 99908.,0
Your debit card transaction of ₹750 was completed. Reference 14250.,0
Your loan payment of ₹1000 has been received. Reference 83193.,0
Your debit card transaction of ₹750 was completed.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 16411.,1
Your account statement for June is now available. Reference 25833.,0
Your refund of ₹1000 has been processed.,0
Your transaction reference TXN7352 has been completed. Reference 56346.,0
Your mobile recharge of ₹50000 was successful.,0
Your transaction reference TXN4821 has been completed.,0
Click this link immediately to avoid account closure. Case 64059.,1
Act now! Your account security check expires today. Case 44249.,1
Your transaction reference TXN9146 has been completed. Reference 63903.,0
Your account statement for April is now available. Reference 62742.,0
Your transfer of ₹250 has been completed successfully.,0
Your reward is waiting. Submit your banking details immediately. Case 15572.,1
Your electricity bill payment of ₹500 was processed.,0
Your card payment at Travel Services for ₹2500 was approved.,0
Share the verification code you received to secure your account.,1
Send your OTP now to prevent your account from being suspended. Case 44523.,1
Your ATM withdrawal of ₹10000 was successful. Reference 90863.,0
Your account has been credited with ₹500.,0
Your mobile recharge of ₹500 was successful. Reference 10863.,0
Act now! Your account security check expires today. Case 11850.,1
Your transaction reference TXN2684 has been completed. Reference 64931.,0
Your mobile recharge of ₹750 was successful.,0
Your ATM withdrawal of ₹250 was successful. Reference 43158.,0
Your refund of ₹10000 has been processed. Reference 59732.,0
Your account has been credited with ₹1000. Reference 77699.,0
Someone attempted a transaction. Give us your OTP to cancel it. Case 49522.,1
Your ATM withdrawal of ₹250 was successful. Reference 24378.,0
Your account statement for May is now available.,0
Your card payment at ABC Store for ₹250 was approved. Reference 61483.,0
Your scheduled payment of ₹1500 has been processed. Reference 63197.,0
Your account will be permanently closed unless you update your KYC now. Case 65139.,1
Your ATM withdrawal of ₹50000 was successful.,0
Your payment due date is 15 September. Reference 75979.,0
Your recurring payment of ₹25000 was completed.,0
Your debit card transaction of ₹500 was completed. Reference 26632.,0
Your recurring payment of ₹10000 was completed.,0
Your bank account is at risk. Provide your OTP now. Case 62171.,1
Your loan payment of ₹250 has been received. Reference 18891.,0
Your KYC has expired. Verify your details now using the link. Case 54035.,1
Your account has suspicious activity. Send your banking password for verification. Case 57579.,1
Your account statement for January is now available.,0
Your card will be blocked today. Confirm your PIN immediately. Case 25002.,1
Click here to receive your refund immediately. Case 22881.,1
Your account has suspicious activity. Send your banking password for verification. Case 93568.,1
Your payment due date is 10 September. Reference 65797.,0
Your deposit of ₹2500 has been credited to your account. Reference 77917.,0
Your account statement for May is now available. Reference 93320.,0
Your scheduled payment of ₹25000 has been processed. Reference 70341.,0
Your mobile recharge of ₹1000 was successful.,0
Your account will be permanently closed unless you update your KYC now. Case 21097.,1
Your refund of ₹1500 has been processed. Reference 42142.,0
Your payment due date is 20 September. Reference 11035.,0
Share the verification code you received to secure your account. Case 18333.,1
Your account has been credited with ₹1500. Reference 13744.,0
Congratulations! You won ₹25000. Pay a fee to claim your reward. Case 98760.,1
Your bank transfer to ABC Store is complete. Reference 56163.,0
Your card payment at Supermarket for ₹500 was approved. Reference 74472.,0
Your scheduled payment of ₹50000 has been processed. Reference 67117.,0
Your recurring payment of ₹50000 was completed. Reference 71455.,0
Send your OTP now to prevent your account from being suspended. Case 73110.,1
Your bank transfer to Mobile Service is complete.,0
Act now! Your account security check expires today. Case 67627.,1
Act now! Your account security check expires today. Case 76577.,1
Your bank transfer to ABC Store is complete. Reference 14679.,0
Share the verification code you received to secure your account. Case 24326.,1
Your reward is waiting. Submit your banking details immediately. Case 28526.,1
Congratulations! You won ₹25000. Pay a fee to claim your reward.,1
Your transfer of ₹2500 has been completed successfully.,0
Your electricity bill payment of ₹10000 was processed. Reference 98251.,0
Your refund of ₹750 has been processed. Reference 74478.,0
Urgent! Your account will be blocked unless you verify immediately. Case 38467.,1
Your transaction history has been updated. Reference 90769.,0
Your payment due date is 15 September. Reference 73944.,0
Your loan payment of ₹25000 has been received. Reference 14901.,0
Your account has been credited with ₹25000. Reference 64120.,0
Your bank transfer to Online Market is complete.,0
Your card payment at Online Market for ₹500 was approved.,0
Your payment of ₹5000 to City Bank was successful. Reference 17878.,0
Your card will be blocked today. Confirm your PIN immediately. Case 68361.,1
Click here to receive your refund immediately. Case 66113.,1
Your card will be blocked today. Confirm your PIN immediately. Case 51139.,1
Your transfer of ₹2500 has been completed successfully. Reference 25491.,0
Your monthly account summary is available to view. Reference 43807.,0
Send your OTP now to prevent your account from being suspended. Case 85304.,1
Urgent! Your account will be blocked unless you verify immediately. Case 22050.,1
Your transaction reference TXN5937 has been completed. Reference 53975.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 95070.,1
Your card payment at City Bank for ₹10000 was approved.,0
Congratulations! You won ₹5000. Pay a fee to claim your reward. Case 20956.,1
Act now! Your account security check expires today. Case 21282.,1
Your account has suspicious activity. Send your banking password for verification. Case 15334.,1
Someone attempted a transaction. Give us your OTP to cancel it. Case 11743.,1
Urgent! Your account will be blocked unless you verify immediately. Case 20417.,1
Your card payment at Electricity Board for ₹750 was approved.,0
Your transaction reference TXN5937 has been completed. Reference 55107.,0
Your card payment at Travel Services for ₹50000 was approved. Reference 56230.,0
Act now! Your account security check expires today. Case 82653.,1
You have been selected for a cash reward. Enter your card details to claim it. Case 58867.,1
Urgent! Your account will be blocked unless you verify immediately. Case 42426.,1
Your account statement for August is now available. Reference 78657.,0
Your debit card transaction of ₹50000 was completed.,0
Your payment of ₹50000 to Online Market was successful.,0
Your bank transfer to Electricity Board is complete. Reference 90847.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 12486.,1
Your scheduled payment of ₹750 has been processed. Reference 34215.,0
Congratulations! You won ₹50000. Pay a fee to claim your reward.,1
Your recurring payment of ₹2500 was completed.,0
Verify your PIN through this link to unlock your account. Case 92110.,1
Click here to receive your refund immediately. Case 90713.,1
Congratulations! You won ₹5000. Pay a fee to claim your reward. Case 68166.,1
Your account will be permanently closed unless you update your KYC now. Case 69098.,1
Your mobile recharge of ₹5000 was successful.,0
Your scheduled payment of ₹25000 has been processed. Reference 68816.,0
Your deposit of ₹50000 has been credited to your account.,0
Your payment of ₹25000 to Electricity Board was successful. Reference 39083.,0
Your transaction reference TXN5937 has been completed. Reference 12080.,0
Click here to receive your refund immediately. Case 90006.,1
Act now! Your account security check expires today. Case 59501.,1
Your account has suspicious activity. Send your banking password for verification. Case 71733.,1
Your payment failed. Enter your card details at this link to receive a refund. Case 35153.,1
Your account will be permanently closed unless you update your KYC now. Case 55033.,1
Your payment due date is 20 September.,0
Click here to receive your refund immediately.,1
Your debit card transaction of ₹1000 was completed. Reference 45370.,0
Send your OTP now to prevent your account from being suspended. Case 70819.,1
Congratulations! You won ₹5000. Pay a fee to claim your reward.,1
Your recurring payment of ₹750 was completed.,0
Your card will be blocked today. Confirm your PIN immediately. Case 62632.,1
Your card payment at Travel Services for ₹1000 was approved.,0
Urgent verification required. Failure to respond will result in account suspension. Case 84747.,1
Your monthly account summary is available to view. Reference 35008.,0
Your card will be blocked today. Confirm your PIN immediately. Case 17081.,1
Your monthly account summary is available to view. Reference 74010.,0
Your scheduled payment of ₹500 has been processed.,0
Your transaction reference TXN2684 has been completed. Reference 31146.,0
Your card payment at Electricity Board for ₹500 was approved.,0
Your recurring payment of ₹2500 was completed. Reference 54742.,0
Your mobile recharge of ₹750 was successful. Reference 50569.,0
Your deposit of ₹10000 has been credited to your account. Reference 54739.,0
Your card payment at ABC Store for ₹10000 was approved. Reference 36389.,0
Your card payment at Supermarket for ₹25000 was approved. Reference 10320.,0
Your card payment at Travel Services for ₹50000 was approved.,0
Your reward is waiting. Submit your banking details immediately. Case 28024.,1
Your account has suspicious activity. Send your banking password for verification. Case 54737.,1
Your payment failed. Enter your card details at this link to receive a refund. Case 50536.,1
Your transfer of ₹50000 has been completed successfully. Reference 25765.,0
Your scheduled payment of ₹10000 has been processed. Reference 84130.,0
Urgent verification required. Failure to respond will result in account suspension. Case 81071.,1
Your recurring payment of ₹250 was completed. Reference 31707.,0
Your bank account is at risk. Provide your OTP now. Case 21133.,1
Act now! Your account security check expires today. Case 69020.,1
Your transfer of ₹500 has been completed successfully. Reference 53904.,0
Send your OTP now to prevent your account from being suspended. Case 88087.,1
Your account has been credited with ₹1000.,0
Your account statement for April is now available. Reference 23267.,0
Your card payment at Travel Services for ₹25000 was approved. Reference 57622.,0
Your account has been credited with ₹1500. Reference 82686.,0
Your card payment at Supermarket for ₹25000 was approved.,0
Congratulations! You won ₹100000. Pay a fee to claim your reward. Case 76889.,1
Your account statement for April is now available.,0
Your recurring payment of ₹50000 was completed. Reference 44898.,0
Your recurring payment of ₹10000 was completed. Reference 35486.,0
Verify your PIN through this link to unlock your account. Case 20378.,1
